from_planet,to_planet
Chryya,Darkknell
Churruma,Endex
Churruma,Ryloon
Churruma,Bextar
Churruma,Kidriff
Cilpar,Vindalia
Cilpar,Laakteen Depot
Cilpar,Giju
Cilpar,Bestine
Cioral,Jamiron
Cioral,Csilla
Cioral,Rentor
Cioral,Metellos
Circumtore,Rorak
Circumtore,Affavan
Circumtore,Ganath
Cirrus,Troska
Cirrus,Uba
Cirrus,Dalron
Cirrus,Nessem
Cirus,Vactooine
Cirus,Tarnoonga
Cirus,Khubeaie
Cirus,Cranan
Ciutric,Corvis Minor
Ciutric,Shaum Hii
Ciutric,Abafar
Ciutric,Celanon
Clak'dor,Averam
Clak'dor,Xagobah
Clak'dor,Triton
Clantaano,Rampa Minor
Clantaano,Dilbana
Clantaano,Barab
Cmaoli Di,Azzameen Station
Cmaoli Di,Darkknell
Cmaoli Di,Sullust
Cmaoli Di,Eriadu
Coachelle,Ota
Coachelle,Rorgam
Coachelle,Terr'Skiar
Codia,Rattatak
Codia,Zaddja
Codia,Gannaria
Codia,Zorbia
Colla IV,Berri
Colla IV,Tirahnn
Colla IV,Relatta
Colonial Station Cam'co,Sposia
Colonial Station Cam'co,Schesa
Colonial Station Cam'co,Naporar
Colonial Station Cam'co,Metellos
Colonial Station Chaf,Copero
Colonial Station Chaf,Csaus
Colonial Station Chaf,Klasse Ephemora
Colonial Station Chaf,Metellos
Columex,Draukyze
Columex,Ossus
Columex,Belderone
Columex,Lianna
Columex,Budpock
Columex,Lucazec
Columus,Recopia
Columus,Lettow
Columus,Lolnar
Comkin V,Kroctar
Comkin V,Nouane
Comkin V,Telerath
Comkin V,Corsin
Commenor,Faro
Commenor,Chorax
Commenor,Damoria
Commenor,Uquine
Commenor,Humbarine
Commenor,Rasterous
Commenor,Raxxa
Comra,Carlac
Comra,Troska
Comra,Alashan
Comra,Nessem
Cona,Fadden
Cona,Manaan
Cona,Rasterous
Concord Dawn,Surcasis
Concord Dawn,Ordo
Concord Dawn,Mandalore
Concord Dawn,Paonid
Condular,Chasin
Condular,Gandeal
Condular,Hosnian Prime
Constancia,Daupherm
Constancia,Lialic
Constancia,Dulvoyinn
Constancia,Belazura
Contruum,Cartao
Contruum,Gizer
Contruum,Von-Alai
Coonee,Cheku
Coonee,Krann
Coonee,Sika
Coonee,Thaere
Copero,Csaus
Copero,Sarvchi
Copero,Cormit
Copero,Metellos
Cophrigin,OHS4140-02
Cophrigin,Iego
Cophrigin,Nyny
Cophrigin,Minntooine
Copperline,Pendari
Copperline,Sarrish
Copperline,New Balosar
Corann,Jatir
Corann,Shelkonwa
Corann,Teardrop
Corann,Tepasi
Corbett Cluster,Bastooine
Corbett Cluster,Lanteeb
Corbett Cluster,Cheelit
Corbos,Bosthirda
Corbos,Jagomir
Corbos,Korriban
Corellia,Sacorria
Corellia,Duro
Corellia,Tinnel
Corellia,Nubia
Corellia,Rydonni Prime
Corellia,Tinnel IV
Corlass,Nuswatta
Corlass,Argai
Corlass,Derilium
Corlass,Rudrig
Cormit,Copero
Cormit,Sarvchi
Cormit,Rentor
Corroth,Kloper
Corroth,Tibro
Corroth,Korev VII
Corroth,Kattada
Corsin,Shalam
Corsin,Triewahl
Corsin,Skorrupon
Corsin,Comkin V
Corsin,Draria
Cortina,Cuvacia
Cortina,Osssorck Nebulae
Cortina,Thebeon
Cortina,Enisca
Corulag,Brentaal
Corulag,Anaxes
Corulag,Chandrila
Coruscant,Foerost
Coruscant,Ruan
Coruscant,Thokos
Coruscant,Tanjay
Coruscant,Jerrilek
Coruscant,Metellos
Coruscant,Pantolomin
Coruscant,Alsakan
Coruscant,Ixtlar
Corva Yag,Eliad
Corva Yag,Cotellier
Corva Yag,Vestar
Corva Yag,Denab
Corvanni IV,Vorsia
Corvanni IV,Korev VII
Corvanni IV,Manwess
Corvanni IV,Uquine
Corvis Minor,Argazda
Corvis Minor,Ciutric
Corvis Minor,Jerne
Corvis Minor,Celanon
Cotellier,Ma'ar Shaddam
Cotellier,Taroon
Cotellier,Vestar
Cotellier,Denab
Council,The Ring
Council,Nothoiin
Council,Gerrenthum
Coveway,Koda Station
Coveway,Vassek
Coveway,Ryoone
Coveway,Shuldene
Craci,Dra
Craci,Drog
Craci,Davirien
Craci,Bosthirda
Crait,Trevi
Crait,Verdanth
Crait,Sanrafsix
Crakull,Rakata Prime
Crakull,Yashuvhu
Crakull,Klasse Ephemora
Crakull,Metellos
Cranan,Vactooine
Cranan,Melnea's World
Cranan,Gedi
Criton's Point,Bnar
Criton's Point,Equanus
Criton's Point,Dubrillion
Criton's Point,Corsin
Crovna,Asmeru Anomaly
Crovna,Neelanon
Crovna,Asmeru
Crovna,Ossel
Crystan,Dulvoyinn
Crystan,Khomm
Crystan,Thomork
Crystan,Gandeal
Csaus,Colonial Station Chaf
Csaus,Sarvchi
Csaus,Copero
Csaus,Metellos
Csilla,Jamiron
Csilla,Cioral
Csilla,Rentor
Csilla,Metellos
Cularin,Sanza
Cularin,Bacrana
Cularin,Ryvellia
Cularin,Thaere
Cuvacia,Illodia
Cuvacia,Dahrtag
Cuvacia,Inysh
Cuvacia,Kelada
Cyax,Sakidopa
Cyax,Sakiduba
Cyax,Saki
Cyax,Zisia
Cybloc,Nam Chorios
Cybloc,Nim Drovis
Cybloc,Budpock
Cyborrea,Boz Pity
Cyborrea,Tal Nami
Cyborrea,Sionia
Cyimarra,Veron
Cyimarra,Mussubir
Cyimarra,Skartis
Cyimarra,Q'mara
Cyphar,Feenix
Cyphar,Ogem
Cyphar,Miztoc
Cyrillia,Surron
Cyrillia,Prazhi
Cyrillia,Mek va Uil
Cyrillia,Fabrin
D'Qar,Rugosa
D'Qar,Sanbra
D'Qar,Shadda-Bi Boran
D'Qar,Alui
D'ian,Bonadan
D'ian,Atchorb
D'ian,Etti
D'ian,Makem Te
D'rinba,Bomis Koori
D'rinba,Kriselist
D'rinba,Chibias
Daalang,Makeb
Daalang,Thoksia
Daalang,Lannik
Daalang,Nixor
Daalang,Circumtore
Daalang,Thokosia
Daan/Melida,Vergesso
Daan/Melida,Socorro
Daan/Melida,Bahalian
Dachat,Denevar
Dachat,Merakai
Dachat,Hyabb
Dachat,Metellos
Dactruria,Delephr
Dactruria,Gelda
Dactruria,Bextar
Daemen,Woostri
Daemen,Lanthe
Daemen,Opiteihr
Daemen,Alakatha
Dagary Minor,Shalam
Dagary Minor,Phateem
Dagary Minor,Nouane
Dagary Minor,Comkin V
Dagelin Minor,Junkfort Station
Dagelin Minor,Oseon
Dagelin Minor,Nimat
Dagelin Minor,Sriluur
Dagobah,Queyta
Dagobah,Tarabba
Dagobah,Denab
Dahrtag,Hjaff
Dahrtag,Cuvacia
Dahrtag,Inysh
Dahrtag,Kelada
Dakshee,Carida
Dakshee,Argai Minor
Dakshee,Hok
Dakshee,Castell
Dalchon,Mika
Dalchon,Heffrin
Dalchon,Shimia
Dalchon,Sirpar
Dalcretti,Korda Six
Dalcretti,Ktil
Dalcretti,Pengalan
Dalcretti,Tirahnn
Dalcretti,Taanab
Dalisor,Kaal
Dalisor,Rrulinn
Dalisor,Jiroch
Dalron,Troska
Dalron,Cirrus
Dalron,Keitum
Dalron,Per Lupelo
Daluuj,Clantaano
Daluuj,Dubrava
Daluuj,Barab
Damendine,Mon Calamari
Damendine,Zigoola
Damendine,Pinperu
Damoria,Vladet
Damoria,Chorax
Damoria,Commenor
Dankayo,Uviuy Exen
Dankayo,Nierport
Dankayo,Ord Antalaha
Danteel,Chamm
Danteel,Lansono
Danteel,Kobaria
Danteel,Gandeal
Dantooine,Angor
Dantooine,Kesmere Minor
Dantooine,Sinsang
Dantooine,Corsin
Danuta,Xoman
Danuta,Boz Pity
Danuta,Bimmisaari
Danuta,Dirha
Darada,Weerden
Darada,Galvoni
Darada,Voom
Darada,Metellos
Darek,Hensara
Darek,Cato Neimoidia
Darek,Talasea
Dargulli,Itani
Dargulli,Heptalia
Dargulli,Shibric
Darkknell,Phaegon_III
Darkknell,Cmaoli Di
Darkknell,Sanrafsix
Darkknell,Chryya
Darlyn Boda,Ertegas
Darlyn Boda,Shuxl
Darlyn Boda,Anantapar
Darlyn Boda,Orn Kios
Dartessex IV,Faro
Dartessex IV,Xobome
Dartessex IV,Mokk IX
Dartessex IV,Uquine
Daruvvia,Ket
Daruvvia,Sennex
Daruvvia,Andalia
Dasoor,Farstone
Dasoor,Arporatal-Lanin
Dasoor,Umthyg
Dasoor,Doaskin
Dasoor,Q'mara
Datar,Kiros
Datar,Milvayne
Datar,Yinchorr
Datar,Drearia
Dathomir,Quelii
Dathomir,Drackmar
Dathomir,Ord Cestus
Dathomir,Botajef
Daupherm,Botor
Daupherm,Thracior
Daupherm,Dulvoyinn
Daupherm,Bryexx
Davirien,Knolstee
Davirien,Kail
Davirien,Drog
Davirien,Bosthirda
Dela,Scillal
Dela,Rafa
Dela,Lekua
Dela,Sriluur
Delacrix,Akrit'tar
Delacrix,Kegan
Delacrix,Gestrex
Delacrix,Eadu
Delephr,Ord Thoden
Delephr,Vexta
Delephr,Gelda
Delephr,Kidriff
Dellalt,Mullan
Dellalt,Caluula
Dellalt,Brigia
Dellalt,Gbu
Delle,Jatir
Delle,Teardrop
Delle,Ralltiir
Delle,Yabol Opa
Delphon,Tokmia
Delphon,Tinoon
Delphon,Polmanar
Delrakkin,Imynusoph
Delrakkin,Polis Massa
Delrakkin,Terminus
Delrakkin,Rutan
Deltooine,Ocsin
Deltooine,Fether
Deltooine,Kir
Deltooine,Makem Te
Deminol,Anstares
Deminol,Ossiathora
Deminol,Zaria
Deminol,Q'mara
Demophon,Vuma
Demophon,Aldraig
Demophon,Glithnos
Demos,Nuralee
Demos,Tyus Cluster
Demos,ZeHeth
Denab,Sluis Van
Denab,Dagobah
Denab,Praesitlyn
Denarii Station,Presbalin
Denarii Station,Selitan
Denarii Station,Near Indosa
Deneba,Shador
Deneba,Chokan
Deneba,Beris
Denebia,Suliana
Denebia,Bator Bai
Denebia,Voorsbain
Denebia,Ossel
Denevar,Venjagga
Denevar,Borleias
Denevar,Merakai
Denevar,Metellos
Dennaskar,Rishi
Dennaskar,Hishyim
Dennaskar,Manda
Dennogra,Taskeed
Dennogra,Komnor
Dennogra,Oovo
Dennogra,Sriluur
Denon,Gendrah-Narvin
Denon,Aquilae
Denon,Iseno
Denon,Perithal
Denon,Spirana
Denon,Sagar
Denova,Wayland
Denova,Taris
Denova,Boordii
Denova,Skorrupon
Dentaal,Steelious
Dentaal,Abregado-rae
Dentaal,Belgaroth
Dentaal,Kelada
Dentaal,Giju
Derilium,Corlass
Derilium,Eibon
Derilium,Duinarbulon
Derra,Gacerian
Derra,Majoor
Derra,Ragith
Desevro,Livien
Desevro,Barseg
Desevro,Kanaver
Devaron,Foless
Devaron,Las Lagon
Devaron,Kelada
Devon,Markbee's Star
Devon,Fest
Devon,Generis
Devon,Corsin
Deysum,Lexrul
Deysum,Randon
Deysum,Bissillirus
Deysun,Blimph
Deysun,Randon
Deysun,Lexrul
Diamal,Vindalia
Diamal,Dentaal
Diamal,Giju
Diamal,Kelada
Dica,Artesia
Dica,Ruusan
Dica,Pesmenben
Dica,Zirulast
Dilbana,Barab
Dilbana,Rampa Minor
Dilbana,Clantaano
Dilonexa,Falko
Dilonexa,Ringneldia
Dilonexa,Uaua
Dilonexa,Sriluur
Din Pulsar,Murk
Din Pulsar,Endor Gate
Din Pulsar,Endor
Dioll,Valorsi
Dioll,Kardura
Dioll,Thermon
Dioll,Q'mara
Dirha,Lant
Dirha,Vontor
Dirha,Klatooine
Divora,Algnadesh
Divora,Cheruba
Divora,Wodan
Divora,Andalia
Diyu,Rorak
Diyu,Hosko
Diyu,Riileb
Diyu,Circumtore
Djurmo,Lavisar
Djurmo,Triewahl
Djurmo,Hewett
Djurmo,Corsin
Doaskin,<unknown_k18>
Doaskin,Dasoor
Dohlban,Mandel
Dohlban,Moonus
Dohlban,Void Station
Dohu,Jarnollen
Dohu,Qiilure
Dohu,Ord Mantell
Dohu,Per Lupelo
Doldrums,Arkania
Doldrums,Kiribi
Doldrums,Kluistar
Doldrums,Uviuy Exen
Doldur,Kalarba
Doldur,Druckenwell
Doldur,Monor
Dolis,Bescane
Dolis,Varvrona
Dolis,Rimcee Station
Dolla,Belsavis
Dolla,Yetoom
Dolla,Kamur
Dolla,Bavva
Dolla,Q'mara
Dolla,Eriadu
Dolla,Yetoom Na Uun
Donadus,Mindabaal
Donadus,Walalla
Donadus,Tasariq
Donadus,New Balosar
Doniphon,Jelucan
Doniphon,Telos
Doniphon,Tantive
Donovia,Illoud
Donovia,Carcel
Donovia,Pirin
Doreen,Bator Bai
Doreen,Usnia
Doreen,Kalgo
Doreen,Q'mara
Dorin,Vicondor
Dorin,Belassar
Dorin,Myomar
Dorin,Dankayo
Dorlo,Kelrodo-Ai
Dorlo,Mustafar
Dorlo,Atravis
Dornea,Lothal
Dornea,Atollon
Dornea,Kamdon
Dornea,Pammant
Dorvalla,Bortras
Dorvalla,Averam
Dorvalla,Eriadu
Dosuun,Mephout
Dosuun,Skye
Dosuun,Seou
Dosuun,Shuldene
Douglas,Tund
Douglas,Paulking
Douglas,Trammis
Douglas,Drualkiin
Dra,Lafra
Dra,Craci
Dra,Drog
Dra,Bosthirda
Drackmar,Ord Cestus
Drackmar,Dathomir
Drackmar,Quelii
Drackmar,Botajef
Dractu,Makeb
Dractu,Nooli
Dractu,Lannik
Dramassia,K'ath
Dramassia,Umthyg
Dramassia,Pieldi
Dramassia,Q'mara
Draria,Kidriff
Draria,Ejolus
Draria,Jazbina
Draria,Adin
Draukyze,Mossak
Draukyze,Rhen Var
Draukyze,Galidraan
Dravian Station,Sevarcos
Dravian Station,Kirdo
Dravian Station,Kabal
Dravian Station,Omwat
Drearia,Paqualis III
Drearia,Per Lupelo
Drearia,Champala
Dreena,Thrakia
Dreena,Calfa
Dreena,Reboam
Dreena,Roqoo Depot
Dremulae,Cambria
Dremulae,Aton
Dremulae,Vuma
Dressel,Torolis
Dressel,Nooli
Dressel,Bresnia
Drexel,Andalasa
Drexel,Reuss
Drexel,Bahalian
Droecil,Stobar
Droecil,Tregillis
Droecil,Wroona
Droecil,Sukkult
Drog,Mall'ordian
Drog,Craci
Drog,Davirien
Drog,Bosthirda
Drogheda,Pesmenben
Drogheda,Ruusan
Drogheda,Uogo'cor
Dromund Kaas,Jaguada
Dromund Kaas,Ashas Ree
Dromund Kaas,Bosthirda
Drongar,Shaylin
Drongar,Florn
Drongar,Pakuuni
Droxu,Saqqar
Droxu,Nar Haaska
Droxu,Glottal
Drualkiin,Lowick
Drualkiin,Prishella
Drualkiin,Formos
Druckenwell,Paqwepor Major
Druckenwell,Monor
Druckenwell,Haseria
Druckenwell,Kabray
Druckenwell,Doldur
Druckenwell,Mon Gazza
Du Hutta,Hosko
Du Hutta,Orondia
Du Hutta,Kleeva
Du Hutta,Circumtore
Dubrava,Daluuj
Dubrava,Syvris
Dubrava,Barab
Dubrillion,Ahakista
Dubrillion,Equanus
Dubrillion,Bnar
Dubrillion,Corsin
Duinarbulon,Murkhana
Duinarbulon,Pasmin
Duinarbulon,Derilium
Duinarbulon,Cadinth
Dulathia,Azure
Dulathia,Lantillies
Dulathia,Rearqu Cluster
Dulin,Pa Tho
Dulin,Trevura
Dulin,Ketal
Dulin,Borkyne
Dulvoyinn,Crystan
Dulvoyinn,Khomm
Dulvoyinn,Constancia
Dulvoyinn,Belazura
Durgen's Star,Xochtl
Durgen's Star,Trinovat
Durgen's Star,Povanaria
Durkteel,Blimph
Durkteel,Sneeve
Durkteel,Yitabo
Duro,Sacorria
Duro,Corellia
Duro,Nubia
Duroon,Jerrist
Duroon,Biewa
Duroon,Saclas
Duroon,Syngia
E. Pica,Vohai
E. Pica,Ord Grovner
E. Pica,Suarbi
E. Pica,Bahalian
Eadu,Kafane
Eadu,Rnda
Eadu,The Maw
Eamus,Abregado-rae
Eamus,Gerrard
Eamus,Plexis
Eamus,Enisca
Ebaq,Ojom
Ebaq,Ottabesk
Ebaq,Hakassi
Ebaq,Lolnar
Ebra,Entuur
Ebra,Urce
Ebra,Phaeda
Ebra,Draria
Echnos,Tibrin
Echnos,Ord Ibanna
Echnos,Eiattu
Echnos,Bortras
Eclipse,Ottabesk
Eclipse,Hakassi
Eclipse,Ojom
Eclipse,Sedratis
Ediorung,Phelope
Ediorung,Tumani
Ediorung,Carlania
Ediorung,Orelon
Edusa,Tangrene
Edusa,Vandyne
Edusa,Camden
Edusa,Simpla
Eiattu,Echnos
Eiattu,Parada
Eiattu,StarForge Nebula
Eiattu,Sullust
Eibon,Nuswatta
Eibon,Algor
Eibon,Derilium
Eibon,Rudrig
Ejolus,Uphrades
Ejolus,Jazbina
Ejolus,Draria
Ekibo,Trian
Ekibo,Lo'Uran
Ekibo,Pypin
Ekibo,Nicht Ka
Elamposnia,Chenowei
Elamposnia,Atorra
Elamposnia,Troos
Elamposnia,B'trilla
Elbara,Quaensan Prime
Elbara,Hirsi
Elbara,Porchello
Elgit,Moralan
Elgit,Usk
Elgit,Bootana Shagplan
Elgit,Zisia
Eliad,Adarlon
Eliad,Karideph
Eliad,Peritor
Eliad,Denab
Elom,Florrum
Elom,Corbos
Elom,Stenos
Elrood,Skor
Elrood,Tarabba
Elrood,Adarlon
Elrood,Denab
Emberlene,T'surr
Emberlene,Scardia
Emberlene,Mordagon
Emberlene,Zaloriis
Emmer,Quermia
Emmer,Troiken
Emmer,Makem Te
Empress Teta,Kuar
Empress Teta,Keeara Major
Empress Teta,Symbia
Empress Teta,Ruan
Enarc,Karlinus
Enarc,Bannistar Station
Enarc,Ryndellia
Enarc,Naboo
Enarc,Alui
Endex,Bextar
Endex,Ryloon
Endex,Churruma
Endex,Kidriff
Endor,Endor Gate
Endor,Murk
Endor,Din Pulsar
Endor,Zorbia
Endor,Trindello
Endor,Sanyassa
Endor Gate,Sanyassa
Endor Gate,Murk
Endor Gate,Endor
Endoraan,Bisellia
Endoraan,Ord Sedra
Endoraan,Cezith
Endoraan,Draria
Endregaad,Tion
Endregaad,Raxus
Endregaad,Janodral Mizar
Endregaad,Makem Te
Enisca,Motexx
Enisca,Bryexx
Enisca,Kelada
Entralla,Capza
Entralla,Endoraan
Entralla,Cezith
Entuur,Ebra
Entuur,Urce
Entuur,Phaeda
Entuur,Draria
Eol Sha,Soullex
Eol Sha,Betha
Eol Sha,Oricon
Eol Sha,Tantive
Epica,Borkyne
Epica,Calus
Epica,Roona
Equanus,Dubrillion
Equanus,Ahakista
Equanus,Criton's Point
Equanus,Corsin
Er'Kit,Borgo Prime
Er'Kit,Hewett
Er'Kit,Polus
Er'Kit,Skorrupon
Erai,Dica
Erai,Ulda Frav
Erai,Artesia
Erai,Zirulast
Eredenn,Nuswatta
Eredenn,Mullan
Eredenn,Brigia
Eredenn,Rudrig
Ereesus,Kol Huro
Ereesus,Lorrd
Ereesus,Argazda
Ereesus,Simpla
Eriadu,Dolla
Eriadu,Ossel
Eriadu,Bortras
Eriadu,Dorvalla
Eriadu,Sullust
Eriadu,Cmaoli Di
Eriadu,Bith
Eriadu,Averam
Eridicon,Reginard
Eridicon,Minntooine
Eridicon,Ruisto
Erilnar,Oseon
Erilnar,Rafa
Erilnar,Scillal
Erilnar,Sriluur
Ertegas,Shuxl
Ertegas,Anantapar
Ertegas,Darlyn Boda
Erysthes,Rampa
Erysthes,Issagra
Erysthes,R'alla
Erysthes,Makem Te
Esfandia,Nirauan
Esfandia,The Red Twins
Esfandia,Ankus
Esfandia,Dankayo
Eshan,Filordis
Eshan,Phateem
Eshan,Levian
Esseles,Ralltiir
Esseles,Brentaal
Esseles,Rhinnal
Ession,Saffalore
Ession,Etti
Ession,Kalla
Ession,Makem Te
Etti,Ession
Etti,D'ian
Etti,Saffalore
Etti,Makem Te
Euceron,Talcene
Euceron,Salvara
Euceron,Ringo Vinda
Euceron,Abhean
Excarga,Kowak
Excarga,Illarreen
Excarga,Rannon
Excarga,Molavar
Exodeen,Vanjervalis
Exodeen,Herzob
Exodeen,Voktunma
Exodeen,Quellor
Exodeen,Denon
Exodeen,Boudolayz
Fabrin,Mimban
Fabrin,Ishanna
Fabrin,Prazhi
Fadden,Manaan
Fadden,Cona
Fadden,Rasterous
Faldos,Manpha
Faldos,Saijo
Faldos,Terminus
Faldos,Rutan
Falko,Antipose
Falko,Trammis
Falko,Uaua
Falko,Drualkiin
Falleen,Algara
Falleen,Linura
Falleen,Kabray
Far Indosa,Denarii Station
Far Indosa,Near Indosa
Far Indosa,Presbalin
Far Pando,Near Pando
Far Pando,Nar Kaaga
Far Pando,Xolu
Far Pando,Arami
Farana,Abo Dreth
Farana,Hull's Star
Farana,Brosl
Farana,Makem Te
Farnica,Novi
Farnica,Baldavia
Farnica,Sivoria
Farnica,Orelon
Faro,Mokk IX
Faro,Dartessex IV
Faro,Commenor
Farquar,Sev Tok
Farquar,Artesia
Farquar,Nanth'ri
Farrfin,Mamendin
Farrfin,Pantolomin
Farrfin,Twith
Farrfin,Thokos
Farstine,Ninzan
Farstine,Kaliida Shoals
Farstine,Ninzam
Farstine,Ryndellia
Farstine,Acilaris
Farstone,Umthyg
Farstone,Arporatal-Lanin
Farstone,Dasoor
Farstone,Q'mara
Febrini,Zadaria
Febrini,Ediorung
Febrini,Phelope
Febrini,Orelon
Fedalle,Trantor
Fedalle,Glithnos
Fedalle,Raxxa
Fedalle,Bellassa
Fedalle,Talravin
Fedje,Fest
Fedje,Iridium
Fedje,Vuchelle
Fedje,Corsin
Feena,Barison
Feena,Kalishik
Feena,Korriban
Feena,B'trilla
Feenix,Cyphar
Feenix,Ogem
Feenix,Miztoc
Feldwes,Karsten's World
Feldwes,Pygorix
Feldwes,Spintir
Felucia,Tandankin
Felucia,Mossak
Felucia,Thanium
Fengrine,Nars
Fengrine,Karfeddion
Fengrine,Hutlar
Fengrine,Ossel
Fennesa,Ophideraan
Fennesa,Yn
Fennesa,Whelori
Fennesa,Mechis III
Ferro,Thila
Ferro,Sikurd
Ferro,Mirial
Ferro,Tantive
Fest,Fedje
Fest,Devon
Fest,Generis
Fest,Corsin
Feswe Corridor,Krylon
Feswe Corridor,Feswe Prime
Feswe Corridor,Tertiary Feswe
Feswe Corridor,Feswe Minor
Feswe Corridor,Ladarra
Feswe Minor,Tertiary Feswe
Feswe Minor,Sorrus
Feswe Minor,Feswe Prime
Feswe Prime,Feswe Minor
Feswe Prime,Hynah
Feswe Prime,Feswe Corridor
Fether,Ocsin
Fether,Kamar
Fether,Deltooine
Fether,Makem Te
Fibuli,Brochiib
Fibuli,Perin
Fibuli,Hiit
Fibuli,Bosthirda
Filordis,Berchest
Filordis,Asrat
Filordis,Eshan
Filordis,Tirahnn
Firrerre,Ast Kikorie
Firrerre,UR-3741
Firrerre,Bunduki
Firrerre,Zorbia
Florn,Tion
Florn,Cholganna
Florn,Toola
Florrum,Yutusk
Florrum,Elom
Florrum,Syngia
Fodro,Aris
Fodro,Gwori
Fodro,Kwevron
Fodro,Draria
Foerost,Coruscant
Foerost,Spira
Foerost,Ruan
Foless,Devaron
Foless,Teyr Vulvarch
Foless,Bestine
Fondor,Vindalia
Fondor,Cilpar
Fondor,Mrlsst
Fondor,Bestine
Formos,Little Kessel
Formos,Eadu
Formos,Prishella
Formos,Drualkiin
Formos,Kessel
Fornax,Baltizaar
Fornax,Iridonia
Fornax,Valrar
Fornax,Drearia
Forsen,New Bakstre
Forsen,Cassander
Forsen,Ord Canfre
Forsen,Kidriff
Foundry,Kuat
Foundry,Balmorra
Foundry,Neimoidia
Foundry,Humbarine
Frego,Plexis
Frego,Eamus
Frego,Iphigin
Frego,Enisca
Fresia,Osadia
Fresia,Cal-Seti
Fresia,Metellos
Fresia,Galand
Froswythe,Motexx
Froswythe,Enisca
Froswythe,Bryexx
Fwatna,Orax
Fwatna,Polis Massa
Fwatna,Rutan
Fwatna,Terminus
Fwillsving,Aeneid
Fwillsving,The Maw
Fwillsving,Kessel
G'wenee,Taris
G'wenee,Halmad
G'wenee,Ord Sigatt
G'wenee,Skorrupon
Gabredor,Venestria
Gabredor,Kwevron
Gabredor,Angor
Gabredor,Draria
Gacerian,Derra
Gacerian,Majoor
Gacerian,Ragith
Gacerian,Baroli
Gala,Indu San
Gala,Gromas
Gala,Vjun
Gala,Phindar
Galactic Center,Byss
Galactic Center,Tsoss Beacon
Galactic Center,Kalist
Galactic Center,Ruan
Galand,Fresia
Galand,Osadia
Galand,Alland
Galand,Metellos
Galand,Worru'du
Galantos,J't'p'tan
Galantos,Tamban
Galantos,N'Zoth
Galantos,Metellos
Galidraan,Draukyze
Galidraan,Arcan
Galidraan,Chandaar
Galidraan,Mossak
Galidraan,Lucazec
Gallinore,Novi
Gallinore,Theselon
Gallinore,Baldavia
Gallinore,Orelon
Galvoni,Darada
Galvoni,Weerden
Galvoni,Thokos
Galvoni,Twith
Gama,Balosar
Gama,Chamm
Gama,Shumogi
Gama,Gandeal
Gamor,Aridus
Gamor,Allanteen
Gamor,Merren
Gamor,Milagro
Gamor,Bacrana
Gamorr,Tammuz-an
Gamorr,Near Pando
Gamorr,Arami
Gamorr,Lyran
Ganath,Kleeva
Ganath,Nal Hutta & Nar Shaddaa
Ganath,Circumtore
Gand,Arleen
Gand,Oseon
Gand,Rafa
Gand,Sriluur
Gandeal,Hosnian Prime
Gandeal,Condular
Gandeal,Belazura
Gandolo,Akuria
Gandolo,Hethar
Gandolo,Agamar
Gandolo,Botajef
Gannaria,Rattatak
Gannaria,Zaddja
Gannaria,Codia
Gannaria,Zorbia
Garel,Toong'l
Garel,Baros
Garel,Chiron
Garel,Minntooine
Gargon,Vanqor
Gargon,Kalevala
Gargon,Bandomeer
Gargon,Botajef
Garnib,Kedorzha
Garnib,Hovan
Garnib,Ossel
Garos,Bseto
Garos,Anteevy
Garos,Kromus
Garos,Phindar
Garqi,Cassander
Garqi,Biitu
Garqi,Minashee
Garqi,Kidriff
Gaulus,Smuggler's Run
Gaulus,Wrea
Gaulus,Naos
Gaulus,Cranan
Gaurick,Ban-Satir
Gaurick,Orron
Gaurick,Joodrudda
Gaurick,Makem Te
Gavryn,Jeyell
Gavryn,Low'n
Gavryn,Roche
Gbu,Pakuuni
Gbu,Refnar
Gbu,Mullan
Gedi,Vactooine
Gedi,Cranan
Gedi,Obana
Gelda,Dactruria
Gelda,Delephr
Gelda,Vexta
Gelviddis Cluster,Manress
Gelviddis Cluster,Corvanni IV
Gelviddis Cluster,Vorsia
Gelviddis Cluster,Andalia
Genassa,Ithor
Genassa,Ylix
Genassa,Urce
Genassa,Draria
Gendrah-Narvin,Perithal VI
Gendrah-Narvin,Iseno
Gendrah-Narvin,Denon
Generis,Hethar
Generis,Markbee's Star
Generis,Devon
Generis,Corsin
Genian,Terr'Skiar
Genian,Coachelle
Genian,Bissillirus
Genon,Ord Vaxal
Genon,Ronyards
Genon,Spirana
Geonosis,Ooo-temiuk
Geonosis,Andooweel
Geonosis,Tatooine
Geonosis,Cranan
Geris,Thustra
Geris,Surcasis
Geris,Aquaris
Geris,Obroa-skai
Geroon,Celdaru
Geroon,The Redoubt
Geroon,Utegetu Nebula
Geroon,Metellos
Gerrard,Thracior
Gerrard,Eamus
Gerrard,Plexis
Gerrard,Enisca
Gerrenthum,The Ring
Gerrenthum,Council
Gerrenthum,Mexeluine
Gerrenthum,Mijos
Gerrenthum,Indellian
Gestrex,Norval
Gestrex,Akrit'tar
Gestrex,Kubindi
Gestrex,Eadu
Gholondreine,Solibus
Gholondreine,Copperline
Gholondreine,New Balosar
Ghorman,Mrlsst
Ghorman,Fondor
Ghorman,Bestine
Ghorman,Vanik
Gibbela,Moltok
Gibbela,Spefik
Gibbela,Mantooine
Gibbela,Draria
Gigor,Thosa
Gigor,Athiss
Gigor,Svolten
